Player,Captain,Type,Team,Base,Owner,Price,Sale,Sold,Set,Overseas,Country,Batting,Bowling,Test Caps,ODI Caps,T20I Caps,IPL,2024 Team,2024 IPL,Cap/Un
Glenn Maxwell,,AR,PK,2,Royal Smashers,7,Sold,4.2,1,Y,Australia,RHB,Right Arm Off Spin,7,142,113,134,RCB,10,Capped
Glenn Phillips,,BAT,GT,2,Kingsmen,2,Sold,2,1,Y,New Zealand,RHB,Right Arm Off Spin,11,30,78,8,SRH,0,Capped
Gurjapneet Singh,,BOWL,CSK,0.3,,,Unsold,2.2,8,,India,RHB,Left Arm Fast Medium,,,,,,,Uncapped
Gurnoor Brar,,BOWL,GT,0.3,,,Unsold,1.3,8,,India,LHB,Right Arm Fast,,,,1,GT,0,Uncapped
Hardik Pandya,Captain,AR,MI,3,Royal Smashers,9,Sold,16.35,Marquee,,,,,,,,,,,Capped
Harnoor Singh,,BAT,PK,0.3,Kingsmen,0.3,Sold,0.3,8,,India,LHB,Right Arm Leg Spin,,,,,,,Uncapped
Harpreet Brar,,AR,PK,0.3,Sher-E-Punjab,0.3,Sold,1.5,8,,India,LHB,Left Arm Slow Orthodox,,,,41,PBKS,13,Uncapped
Harry Brook,,BAT,DC,2,,,Unsold,6.25,1,Y,England,RHB,Right Arm Medium,21,20,39,11,DC,0,Capped
Harshal Patel,,AR,SRH,2,Kingsmen,8.4,Sold,8,1,,India,RHB,Right Arm Fast Medium,,,25,106,PBKS,14,Capped
Harshit Rana,,BOWL,KKR,3,Royal Smashers,3,Sold,4,Marquee,,,,,,,,,,,Uncapped
Heinrich Klaasen,,BAT,SRH,3,Royal Smashers,3,Sold,23,Marquee,Y,,,,,,,,,,Capped
